date,avg_infect_ratio,stage,area
2020-08-22,1.3707085969472493e-06,0.3333333333333333,面巢
2020-08-23,1.9037619402045128e-06,0.6666666666666666,面巢
2020-10-11,7.615047760818051e-08,0.6666666666666666,面巢
2020-10-12,3.8075238804090253e-07,0.3333333333333333,面巢
2020-11-30,4.492878178882651e-06,0.3333333333333333,面巢
2020-12-01,6.472790596695343e-06,0.5,面巢
2020-12-06,6.015887731046261e-06,0.5,面巢
2020-12-07,6.0920382086544405e-06,0.6666666666666666,面巢
2021-02-14,3.1983200595435812e-06,0.6666666666666666,面巢
2021-02-15,7.919649671250775e-06,0.5,面巢
2021-06-13,1.6753105073799713e-06,0.5,面巢
2021-06-14,7.615047760818051e-08,0.3333333333333333,面巢
